team,total_player_score
San Antonio Spurs,197.269
New York Knicks,185.65
Boston Celtics,185.421
Detroit Pistons,195.379
Minnesota Timberwolves,192.277
Cleveland Cavaliers,184.325
Oklahoma City Thunder,205.203
Houston Rockets,187.183
Los Angeles Clippers,172.418
Philadelphia 76ers,179.131
Toronto Raptors,185.777
Portland Trail Blazers,170.796
Denver Nuggets,170.226
Orlando Magic,153.848
Golden State Warriors,163.387
Atlanta Hawks,176.965
Sacramento Kings,151.326
Phoenix Suns,145.545
Memphis Grizzlies,142.494
Los Angeles Lakers,165.962
Milwaukee Bucks,143.301
Miami Heat,168.237
Washington Wizards,112.124
Utah Jazz,136.078
Charlotte Hornets,158.674
Brooklyn Nets,124.12
Chicago Bulls,173.702
Dallas Mavericks,132.963
New Orleans Pelicans,105.657
Indiana Pacers,91.158
