Team,Wins,Losses,HSS
Boston,63,17,27.39912
Philadelphia,40,40,25.95194
Golden State,56,24,27.24147
LA Clippers,61,19,27.67288
Denver,71,9,28.05088
Miami,39,41,26.08294
Oklahoma City,67,13,27.96147
Indiana,60,20,27.40029
Charlotte,26,54,24.95912
Atlanta,56,24,27.13453
LA Lakers,55,25,26.79312
Milwaukee,61,19,27.05200
Cleveland,77,3,28.77935
Dallas,52,28,26.59694
Sacramento,60,20,27.16776
Phoenix,50,30,26.80935
Houston,63,17,27.37241
Toronto,49,31,26.75053
New York,55,25,27.25382
Brooklyn,45,35,25.90806
Chicago,48,32,26.68153
San Antonio,46,34,26.49165
New Orleans,28,52,25.66212
Orlando,45,35,26.41971
Minnesota,65,15,27.41365
Detroit,59,21,27.25047
Washington,25,55,24.98653
Memphis,67,13,27.62618
Utah,40,40,26.18465
Portland,44,36,26.53453
