Team,Wins,Losses
Boston,27,11
New York,25,14
Philadelphia,15,21
Brooklyn,13,25
Toronto,8,31
Cleveland,33,4
Milwaukee,20,16
Indiana,21,18
Detroit,20,19
Chicago,18,20
Orlando,22,18
Miami,20,17
Atlanta,19,19
Charlotte,8,27
Washington,6,30
Oklahoma City,31,6
Denver,22,15
Minnesota,20,18
Portland,13,25
Utah,9,28
LA Lakers,20,16
LA Clippers,20,17
Sacramento,19,19
Golden State,19,19
Phoenix,18,19
Houston,25,12
Memphis,25,14
Dallas,22,16
San Antonio,18,19
New Orleans,8,31
