Rank,Team,Statistic,Year
1,Golden State,12.0,2017
21,Golden State,-2.2,2005
16,Golden State,1.5,2024
11,Golden State,1.5,2023
30,Golden State,-8.7,2020
13,Golden State,2.2,2008
13,Golden State,0.9,2021
2,Golden State,6.8,2018
2,Golden State,9.3,2016
16,Golden State,-0.7,2004
21,Golden State,-2.3,2011
11,Golden State,0.8,2013
6,Golden State,4.1,2014
17,Golden State,-1.4,2006
24,Golden State,-3.7,2009
12,Golden State,-0.1,2007
23,Golden State,-3.4,2012
1,Golden State,9.6,2015
3,Golden State,5.4,2022
22,Golden State,-3.6,2010
3,Golden State,5.8,2019
