Rank,Team,Statistic,Year
19,Minnesota,-1.1,2017
10,Minnesota,1.5,2005
3,Minnesota,6.6,2024
21,Minnesota,-0.3,2023
25,Minnesota,-4.3,2020
26,Minnesota,-6.8,2008
26,Minnesota,-5.6,2021
11,Minnesota,1.6,2018
24,Minnesota,-3.5,2016
4,Minnesota,4.5,2004
28,Minnesota,-6.6,2011
20,Minnesota,-2.4,2013
10,Minnesota,2.7,2014
21,Minnesota,-1.9,2006
25,Minnesota,-4.9,2009
25,Minnesota,-3.7,2007
21,Minnesota,-2.2,2012
28,Minnesota,-8.8,2015
10,Minnesota,2.1,2022
30,Minnesota,-9.6,2010
22,Minnesota,-1.5,2019
