Rank,Team,Statistic,Year
27,Philadelphia,-5.7,2017
18,Philadelphia,-1.2,2005
11,Philadelphia,2.3,2024
4,Philadelphia,3.6,2023
12,Philadelphia,2.2,2020
15,Philadelphia,-0.1,2008
3,Philadelphia,5.9,2021
4,Philadelphia,4.4,2018
30,Philadelphia,-10.2,2016
21,Philadelphia,-2.5,2004
13,Philadelphia,1.0,2011
23,Philadelphia,-3.3,2013
30,Philadelphia,-10.5,2014
22,Philadelphia,-2.0,2006
15,Philadelphia,-0.5,2009
23,Philadelphia,-3.0,2007
5,Philadelphia,3.3,2012
29,Philadelphia,-9.0,2015
9,Philadelphia,2.3,2022
24,Philadelphia,-3.9,2010
11,Philadelphia,2.7,2019
