Rank,Team,Statistic,Year
25,Sacramento,-3.9,2017
8,Sacramento,1.8,2005
17,Sacramento,1.4,2024
8,Sacramento,2.3,2023
21,Sacramento,-1.9,2020
19,Sacramento,-2.3,2008
24,Sacramento,-3.7,2021
28,Sacramento,-7.0,2018
20,Sacramento,-2.5,2016
5,Sacramento,4.4,2004
25,Sacramento,-5.3,2011
27,Sacramento,-4.9,2013
22,Sacramento,-2.9,2014
13,Sacramento,0.8,2006
29,Sacramento,-8.8,2009
19,Sacramento,-1.8,2007
27,Sacramento,-5.7,2012
25,Sacramento,-3.7,2015
25,Sacramento,-5.5,2022
25,Sacramento,-4.5,2010
18,Sacramento,-1.1,2019
