Rank,Team,Statistic,Year
2,San Antonio,6.2,2017
1,San Antonio,7.0,2005
26,San Antonio,-7.6,2024
30,San Antonio,-10.0,2023
20,San Antonio,-1.8,2020
9,San Antonio,3.8,2008
21,San Antonio,-1.8,2021
8,San Antonio,2.2,2018
1,San Antonio,10.5,2016
1,San Antonio,6.8,2004
5,San Antonio,5.1,2011
3,San Antonio,6.7,2013
1,San Antonio,8.0,2014
1,San Antonio,6.2,2006
8,San Antonio,3.2,2009
1,San Antonio,7.5,2007
2,San Antonio,7.0,2012
3,San Antonio,5.7,2015
17,San Antonio,0.0,2022
6,San Antonio,4.2,2010
12,San Antonio,1.4,2019
