Rank,Team,Statistic,Year
9,Cleveland,1.015,2016
26,Cleveland,1.049,2012
16,Cleveland,1.02,2015
30,Cleveland,1.121,2020
29,Cleveland,1.083,2011
4,Cleveland,0.991,2007
16,Cleveland,1.039,2014
13,Cleveland,1.025,2006
1,Cleveland,0.994,2009
19,Cleveland,1.01,2004
30,Cleveland,1.141,2019
11,Cleveland,1.023,2005
6,Cleveland,1.065,2022
22,Cleveland,1.072,2017
25,Cleveland,1.054,2013
6,Cleveland,1.028,2008
8,Cleveland,1.018,2010
25,Cleveland,1.11,2021
1,Cleveland,1.07,2023
4,Cleveland,1.085,2024
29,Cleveland,1.085,2018
