Rank,Team,Statistic,Year
8,Golden State,1.01,2016
27,Golden State,1.055,2012
1,Golden State,0.98,2015
25,Golden State,1.103,2020
26,Golden State,1.071,2011
20,Golden State,1.045,2007
4,Golden State,1.002,2014
15,Golden State,1.03,2006
28,Golden State,1.095,2009
18,Golden State,1.01,2004
16,Golden State,1.066,2019
16,Golden State,1.038,2005
2,Golden State,1.042,2022
1,Golden State,1.009,2017
15,Golden State,1.022,2013
22,Golden State,1.063,2008
27,Golden State,1.086,2010
5,Golden State,1.068,2021
15,Golden State,1.104,2023
17,Golden State,1.124,2024
9,Golden State,1.037,2018
