Rank,Team,Statistic,Year
6,LA Clippers,1.006,2016
18,LA Clippers,1.019,2012
17,LA Clippers,1.023,2015
5,LA Clippers,1.038,2020
18,LA Clippers,1.05,2011
9,LA Clippers,1.026,2007
10,LA Clippers,1.02,2014
8,LA Clippers,1.012,2006
27,LA Clippers,1.085,2009
28,LA Clippers,1.05,2004
21,LA Clippers,1.086,2019
14,LA Clippers,1.032,2005
7,LA Clippers,1.069,2022
12,LA Clippers,1.051,2017
9,LA Clippers,1.006,2013
18,LA Clippers,1.06,2008
21,LA Clippers,1.072,2010
10,LA Clippers,1.087,2021
19,LA Clippers,1.115,2023
14,LA Clippers,1.121,2024
19,LA Clippers,1.068,2018
