Rank,Team,Statistic,Year
23,Milwaukee,1.052,2016
14,Milwaukee,1.014,2012
2,Milwaukee,0.99,2015
1,Milwaukee,0.992,2020
4,Milwaukee,0.994,2011
29,Milwaukee,1.085,2007
30,Milwaukee,1.079,2014
24,Milwaukee,1.049,2006
11,Milwaukee,1.045,2009
24,Milwaukee,1.024,2004
1,Milwaukee,1.019,2019
28,Milwaukee,1.061,2005
12,Milwaukee,1.075,2022
16,Milwaukee,1.056,2017
12,Milwaukee,1.018,2013
30,Milwaukee,1.093,2008
4,Milwaukee,1.008,2010
6,Milwaukee,1.073,2021
4,Milwaukee,1.09,2023
18,Milwaukee,1.125,2024
18,Milwaukee,1.067,2018
