Rank,Team,Statistic,Year
28,Minnesota,1.065,2016
24,Minnesota,1.028,2012
30,Minnesota,1.083,2015
21,Minnesota,1.087,2020
27,Minnesota,1.073,2011
21,Minnesota,1.048,2007
11,Minnesota,1.027,2014
10,Minnesota,1.016,2006
25,Minnesota,1.081,2009
6,Minnesota,0.971,2004
23,Minnesota,1.092,2019
15,Minnesota,1.033,2005
14,Minnesota,1.08,2022
27,Minnesota,1.082,2017
14,Minnesota,1.019,2013
27,Minnesota,1.08,2008
28,Minnesota,1.087,2010
27,Minnesota,1.113,2021
13,Minnesota,1.102,2023
1,Minnesota,1.054,2024
27,Minnesota,1.079,2018
