Rank,Team,Statistic,Year
27,New Orleans,1.063,2016
15,New Orleans,1.015,2012
23,New Orleans,1.042,2015
18,New Orleans,1.081,2020
12,New Orleans,1.026,2011
15,New Orleans,1.036,2007
27,New Orleans,1.064,2014
19,New Orleans,1.038,2006
16,New Orleans,1.051,2009
10,New Orleans,0.99,2004
24,New Orleans,1.093,2019
20,New Orleans,1.043,2005
20,New Orleans,1.097,2022
10,New Orleans,1.044,2017
28,New Orleans,1.064,2013
9,New Orleans,1.032,2008
23,New Orleans,1.074,2010
23,New Orleans,1.104,2021
6,New Orleans,1.092,2023
6,New Orleans,1.09,2024
14,New Orleans,1.053,2018
