Rank,Team,Statistic,Year
26,Philadelphia,1.058,2016
3,Philadelphia,0.96,2012
12,Philadelphia,1.012,2015
6,Philadelphia,1.049,2020
8,Philadelphia,1.021,2011
17,Philadelphia,1.038,2007
26,Philadelphia,1.063,2014
25,Philadelphia,1.05,2006
12,Philadelphia,1.046,2009
11,Philadelphia,0.991,2004
11,Philadelphia,1.061,2019
10,Philadelphia,1.013,2005
13,Philadelphia,1.076,2022
14,Philadelphia,1.054,2017
16,Philadelphia,1.023,2013
8,Philadelphia,1.03,2008
24,Philadelphia,1.075,2010
2,Philadelphia,1.045,2021
8,Philadelphia,1.097,2023
12,Philadelphia,1.106,2024
3,Philadelphia,1.018,2018
