Rank,Team,Statistic,Year
21,Portland,1.048,2016
23,Portland,1.027,2012
11,Portland,1.008,2015
26,Portland,1.104,2020
15,Portland,1.038,2011
25,Portland,1.065,2007
19,Portland,1.043,2014
28,Portland,1.087,2006
13,Portland,1.047,2009
22,Portland,1.022,2004
17,Portland,1.071,2019
21,Portland,1.044,2005
30,Portland,1.132,2022
24,Portland,1.074,2017
26,Portland,1.057,2013
16,Portland,1.051,2008
16,Portland,1.047,2010
29,Portland,1.129,2021
28,Portland,1.15,2023
22,Portland,1.135,2024
6,Portland,1.036,2018
