Rank,Team,Statistic,Year
22,Sacramento,1.051,2016
29,Sacramento,1.059,2012
27,Sacramento,1.054,2015
19,Sacramento,1.082,2020
20,Sacramento,1.054,2011
22,Sacramento,1.048,2007
22,Sacramento,1.051,2014
14,Sacramento,1.029,2006
30,Sacramento,1.12,2009
20,Sacramento,1.013,2004
19,Sacramento,1.082,2019
23,Sacramento,1.052,2005
27,Sacramento,1.119,2022
26,Sacramento,1.079,2017
29,Sacramento,1.074,2013
25,Sacramento,1.066,2008
20,Sacramento,1.069,2010
30,Sacramento,1.138,2021
24,Sacramento,1.129,2023
15,Sacramento,1.123,2024
26,Sacramento,1.079,2018
