Rank,Team,Statistic,Year
1,San Antonio,0.964,2016
11,San Antonio,1.002,2012
4,San Antonio,0.994,2015
27,San Antonio,1.105,2020
10,San Antonio,1.024,2011
2,San Antonio,0.978,2007
3,San Antonio,0.999,2014
1,San Antonio,0.985,2006
6,San Antonio,1.023,2009
1,San Antonio,0.921,2004
20,San Antonio,1.083,2019
1,San Antonio,0.972,2005
15,San Antonio,1.09,2022
2,San Antonio,1.017,2017
3,San Antonio,0.984,2013
3,San Antonio,0.998,2008
9,San Antonio,1.022,2010
16,San Antonio,1.095,2021
30,San Antonio,1.164,2023
23,San Antonio,1.141,2024
4,San Antonio,1.022,2018
