Rank,Team,Statistic,Year
25,Charlotte,0.508,2018
24,Charlotte,0.48,2007
30,Charlotte,0.439,2012
29,Charlotte,0.516,2023
5,Charlotte,0.5429999999999999,2022
19,Charlotte,0.496,2016
19,Charlotte,0.494,2009
23,Charlotte,0.489,2010
30,Charlotte,0.456,2015
29,Charlotte,0.455,2005
25,Charlotte,0.482,2011
25,Charlotte,0.481,2014
27,Charlotte,0.504,2020
28,Charlotte,0.524,2024
30,Charlotte,0.46,2013
18,Charlotte,0.532,2021
29,Charlotte,0.4639999999999999,2006
23,Charlotte,0.501,2017
23,Charlotte,0.514,2019
16,Charlotte,0.492,2008
