Rank,Team,Statistic,Year
11,Indiana,0.526,2018
29,Indiana,0.474,2007
24,Indiana,0.473,2012
16,Indiana,0.545,2023
19,Indiana,0.531,2022
18,Indiana,0.497,2016
12,Indiana,0.501,2009
21,Indiana,0.491,2010
23,Indiana,0.484,2015
24,Indiana,0.471,2005
23,Indiana,0.483,2011
16,Indiana,0.467,2004
18,Indiana,0.492,2014
10,Indiana,0.5329999999999999,2020
2,Indiana,0.575,2024
22,Indiana,0.478,2013
12,Indiana,0.5429999999999999,2021
18,Indiana,0.487,2006
12,Indiana,0.516,2017
13,Indiana,0.527,2019
14,Indiana,0.498,2008
