Rank,Team,Statistic,Year
15,LA Lakers,0.517,2018
4,LA Lakers,0.509,2007
16,LA Lakers,0.485,2012
19,LA Lakers,0.54,2023
14,LA Lakers,0.537,2022
30,LA Lakers,0.46,2016
7,LA Lakers,0.512,2009
14,LA Lakers,0.497,2010
26,LA Lakers,0.473,2015
12,LA Lakers,0.485,2005
11,LA Lakers,0.499,2011
7,LA Lakers,0.48,2004
12,LA Lakers,0.505,2014
4,LA Lakers,0.5479999999999999,2020
7,LA Lakers,0.5660000000000001,2024
8,LA Lakers,0.51,2013
19,LA Lakers,0.531,2021
9,LA Lakers,0.495,2006
22,LA Lakers,0.501,2017
12,LA Lakers,0.527,2019
3,LA Lakers,0.522,2008
