Rank,Team,Statistic,Year
24,New York,0.51,2018
16,New York,0.494,2007
12,New York,0.489,2012
21,New York,0.535,2023
26,New York,0.513,2022
28,New York,0.483,2016
10,New York,0.503,2009
10,New York,0.509,2010
27,New York,0.47,2015
13,New York,0.485,2005
9,New York,0.509,2011
14,New York,0.471,2004
11,New York,0.505,2014
29,New York,0.501,2020
21,New York,0.534,2024
9,New York,0.508,2013
25,New York,0.52,2021
22,New York,0.481,2006
25,New York,0.496,2017
30,New York,0.49,2019
27,New York,0.475,2008
