Rank,Team,Statistic,Year
30,Phoenix,0.495,2018
1,Phoenix,0.5479999999999999,2007
8,Phoenix,0.499,2012
20,Phoenix,0.537,2023
4,Phoenix,0.55,2022
24,Phoenix,0.487,2016
1,Phoenix,0.545,2009
1,Phoenix,0.544,2010
10,Phoenix,0.501,2015
1,Phoenix,0.536,2005
4,Phoenix,0.522,2011
12,Phoenix,0.475,2004
6,Phoenix,0.519,2014
21,Phoenix,0.528,2020
6,Phoenix,0.5670000000000001,2024
23,Phoenix,0.477,2013
4,Phoenix,0.56,2021
1,Phoenix,0.537,2006
26,Phoenix,0.493,2017
22,Phoenix,0.514,2019
1,Phoenix,0.5479999999999999,2008
