Rank,Team,Statistic,Year
27,Sacramento,0.502,2018
17,Sacramento,0.491,2007
26,Sacramento,0.472,2012
3,Sacramento,0.565,2023
22,Sacramento,0.525,2022
9,Sacramento,0.51,2016
22,Sacramento,0.49,2009
22,Sacramento,0.491,2010
19,Sacramento,0.49,2015
4,Sacramento,0.495,2005
26,Sacramento,0.48,2011
1,Sacramento,0.501,2004
23,Sacramento,0.484,2014
13,Sacramento,0.531,2020
9,Sacramento,0.56,2024
16,Sacramento,0.491,2013
8,Sacramento,0.5489999999999999,2021
13,Sacramento,0.491,2006
13,Sacramento,0.516,2017
14,Sacramento,0.524,2019
10,Sacramento,0.503,2008
