Rank,Team,Statistic,Year
24,Atlanta,0.5539999999999999,2023
10,Atlanta,0.491,2015
9,Atlanta,0.478,2012
16,Atlanta,0.499,2010
30,Atlanta,0.5720000000000001,2024
25,Atlanta,0.536,2018
12,Atlanta,0.493,2013
7,Atlanta,0.527,2021
10,Atlanta,0.496,2009
12,Atlanta,0.492,2011
4,Atlanta,0.48,2016
18,Atlanta,0.476,2004
25,Atlanta,0.5429999999999999,2020
24,Atlanta,0.542,2022
21,Atlanta,0.503,2007
27,Atlanta,0.541,2019
30,Atlanta,0.513,2005
27,Atlanta,0.513,2006
18,Atlanta,0.509,2014
5,Atlanta,0.506,2017
17,Atlanta,0.501,2008
