Rank,Team,Statistic,Year
18,Charlotte,0.544,2023
7,Charlotte,0.487,2015
28,Charlotte,0.512,2012
11,Charlotte,0.493,2010
29,Charlotte,0.57,2024
23,Charlotte,0.532,2018
30,Charlotte,0.524,2013
26,Charlotte,0.552,2021
12,Charlotte,0.498,2009
16,Charlotte,0.5,2011
12,Charlotte,0.498,2016
27,Charlotte,0.546,2020
25,Charlotte,0.545,2022
17,Charlotte,0.5,2007
24,Charlotte,0.5379999999999999,2019
24,Charlotte,0.497,2005
28,Charlotte,0.514,2006
9,Charlotte,0.493,2014
23,Charlotte,0.523,2017
20,Charlotte,0.505,2008
