Rank,Team,Statistic,Year
6,Cleveland,0.532,2023
16,Cleveland,0.495,2015
27,Cleveland,0.508,2012
2,Cleveland,0.482,2010
3,Cleveland,0.527,2024
26,Cleveland,0.5379999999999999,2018
29,Cleveland,0.523,2013
29,Cleveland,0.556,2021
1,Cleveland,0.47,2009
29,Cleveland,0.524,2011
13,Cleveland,0.499,2016
15,Cleveland,0.469,2004
29,Cleveland,0.56,2020
5,Cleveland,0.521,2022
5,Cleveland,0.476,2007
30,Cleveland,0.564,2019
17,Cleveland,0.485,2005
12,Cleveland,0.489,2006
17,Cleveland,0.508,2014
20,Cleveland,0.517,2017
9,Cleveland,0.49,2008
