Rank,Team,Statistic,Year
23,Indiana,0.5539999999999999,2023
4,Indiana,0.478,2015
6,Indiana,0.475,2012
10,Indiana,0.49,2010
22,Indiana,0.5589999999999999,2024
19,Indiana,0.525,2018
1,Indiana,0.457,2013
10,Indiana,0.532,2021
14,Indiana,0.499,2009
7,Indiana,0.485,2011
6,Indiana,0.485,2016
6,Indiana,0.4529999999999999,2004
7,Indiana,0.513,2020
28,Indiana,0.552,2022
11,Indiana,0.491,2007
11,Indiana,0.516,2019
6,Indiana,0.47,2005
2,Indiana,0.465,2006
1,Indiana,0.466,2014
17,Indiana,0.515,2017
13,Indiana,0.498,2008
