Rank,Team,Statistic,Year
17,LA Clippers,0.544,2023
15,LA Clippers,0.495,2015
20,LA Clippers,0.492,2012
20,LA Clippers,0.509,2010
13,LA Clippers,0.5429999999999999,2024
12,LA Clippers,0.52,2018
10,LA Clippers,0.492,2013
9,LA Clippers,0.532,2021
24,LA Clippers,0.512,2009
14,LA Clippers,0.499,2011
3,LA Clippers,0.48,2016
27,LA Clippers,0.494,2004
3,LA Clippers,0.503,2020
4,LA Clippers,0.514,2022
10,LA Clippers,0.488,2007
14,LA Clippers,0.518,2019
12,LA Clippers,0.48,2005
5,LA Clippers,0.472,2006
6,LA Clippers,0.489,2014
7,LA Clippers,0.508,2017
19,LA Clippers,0.503,2008
