Rank,Team,Statistic,Year
27,Portland,0.563,2023
3,Portland,0.476,2015
26,Portland,0.504,2012
18,Portland,0.505,2010
24,Portland,0.56,2024
6,Portland,0.507,2018
26,Portland,0.512,2013
21,Portland,0.547,2021
16,Portland,0.5,2009
22,Portland,0.509,2011
15,Portland,0.504,2016
21,Portland,0.482,2004
14,Portland,0.523,2020
30,Portland,0.5589999999999999,2022
25,Portland,0.508,2007
8,Portland,0.514,2019
10,Portland,0.479,2005
25,Portland,0.507,2006
8,Portland,0.491,2014
12,Portland,0.511,2017
10,Portland,0.491,2008
