Rank,Team,Statistic,Year
29,Cleveland,0.292,2020
1,Cleveland,0.792,2009
6,Cleveland,0.598,2023
3,Cleveland,0.663,2015
1,Cleveland,0.72,2010
22,Cleveland,0.402,2014
28,Cleveland,0.232,2019
14,Cleveland,0.524,2022
26,Cleveland,0.306,2021
27,Cleveland,0.318,2012
20,Cleveland,0.427,2004
29,Cleveland,0.232,2011
8,Cleveland,0.606,2024
3,Cleveland,0.709,2016
16,Cleveland,0.512,2005
6,Cleveland,0.608,2007
13,Cleveland,0.547,2008
28,Cleveland,0.293,2013
6,Cleveland,0.6,2006
4,Cleveland,0.64,2017
6,Cleveland,0.596,2018
