Rank,Team,Statistic,Year
25,New York,0.318,2020
23,New York,0.39,2009
8,New York,0.57,2023
29,New York,0.207,2015
22,New York,0.354,2010
19,New York,0.451,2014
30,New York,0.207,2019
19,New York,0.451,2022
12,New York,0.546,2021
14,New York,0.521,2012
17,New York,0.454,2004
15,New York,0.488,2011
9,New York,0.6,2024
24,New York,0.39,2016
23,New York,0.402,2005
21,New York,0.402,2007
25,New York,0.281,2008
7,New York,0.638,2013
29,New York,0.281,2006
24,New York,0.378,2017
22,New York,0.354,2018
