Rank,Team,Statistic,Year
9,Okla City,0.625,2020
27,Okla City,0.281,2009
19,Okla City,0.488,2023
13,Okla City,0.549,2015
10,Okla City,0.591,2010
2,Okla City,0.683,2014
10,Okla City,0.575,2019
27,Okla City,0.293,2022
26,Okla City,0.306,2021
3,Okla City,0.706,2012
18,Okla City,0.451,2004
7,Okla City,0.647,2011
3,Okla City,0.7,2024
4,Okla City,0.66,2016
6,Okla City,0.624,2005
26,Okla City,0.378,2007
29,Okla City,0.244,2008
3,Okla City,0.699,2013
21,Okla City,0.427,2006
10,Okla City,0.552,2017
11,Okla City,0.568,2018
