Rank,Team,Statistic,Year
18,Sacramento,0.438,2020
30,Sacramento,0.207,2009
7,Sacramento,0.573,2023
25,Sacramento,0.354,2015
28,Sacramento,0.301,2010
24,Sacramento,0.342,2014
17,Sacramento,0.476,2019
24,Sacramento,0.366,2022
21,Sacramento,0.431,2021
25,Sacramento,0.333,2012
6,Sacramento,0.66,2004
25,Sacramento,0.293,2011
12,Sacramento,0.586,2024
21,Sacramento,0.402,2016
8,Sacramento,0.586,2005
21,Sacramento,0.402,2007
18,Sacramento,0.463,2008
25,Sacramento,0.342,2013
11,Sacramento,0.523,2006
23,Sacramento,0.39,2017
24,Sacramento,0.329,2018
