Rank,Team,Statistic,Year
5,LA Clippers,3.9,2017
17,LA Clippers,-0.8,2005
7,LA Clippers,3.8,2024
17,LA Clippers,0.1,2023
3,LA Clippers,6.5,2020
28,LA Clippers,-7.3,2008
2,LA Clippers,6.1,2021
17,LA Clippers,0.0,2018
5,LA Clippers,4.1,2016
25,LA Clippers,-4.6,2004
22,LA Clippers,-3.1,2011
4,LA Clippers,5.6,2013
2,LA Clippers,6.3,2014
7,LA Clippers,1.9,2006
30,LA Clippers,-8.8,2009
14,LA Clippers,-0.5,2007
12,LA Clippers,1.5,2012
2,LA Clippers,5.8,2015
18,LA Clippers,-0.1,2022
28,LA Clippers,-6.4,2010
13,LA Clippers,0.1,2019
