Rank,Team,Statistic,Year
9,Washington,1.6,2017
16,Washington,-0.6,2005
29,Washington,-9.9,2024
23,Washington,-1.2,2023
24,Washington,-4.0,2020
16,Washington,-0.5,2008
23,Washington,-2.4,2021
14,Washington,0.4,2018
15,Washington,-0.5,2016
27,Washington,-5.6,2004
29,Washington,-7.4,2011
21,Washington,-2.5,2013
14,Washington,1.2,2014
9,Washington,1.7,2006
28,Washington,-7.5,2009
16,Washington,-0.9,2007
26,Washington,-4.8,2012
13,Washington,1.1,2015
23,Washington,-3.4,2022
26,Washington,-4.8,2010
25,Washington,-2.9,2019
