Rank,Team,Statistic,Year
29,Brooklyn,1.077,2016
28,Brooklyn,1.056,2012
22,Brooklyn,1.041,2015
8,Brooklyn,1.052,2020
23,Brooklyn,1.064,2011
11,Brooklyn,1.029,2007
21,Brooklyn,1.047,2014
4,Brooklyn,1.002,2006
23,Brooklyn,1.078,2009
4,Brooklyn,0.949,2004
14,Brooklyn,1.065,2019
6,Brooklyn,1.004,2005
17,Brooklyn,1.093,2022
23,Brooklyn,1.073,2017
17,Brooklyn,1.024,2013
21,Brooklyn,1.062,2008
25,Brooklyn,1.078,2010
19,Brooklyn,1.098,2021
18,Brooklyn,1.107,2023
19,Brooklyn,1.127,2024
23,Brooklyn,1.074,2018
