Rank,Team,Statistic,Year
30,LA Lakers,1.079,2016
17,LA Lakers,1.017,2012
29,LA Lakers,1.07,2015
3,LA Lakers,1.024,2020
6,LA Lakers,1.013,2011
24,LA Lakers,1.057,2007
28,LA Lakers,1.072,2014
16,LA Lakers,1.03,2006
4,LA Lakers,1.013,2009
9,LA Lakers,0.981,2004
12,LA Lakers,1.063,2019
29,LA Lakers,1.077,2005
21,LA Lakers,1.1,2022
30,LA Lakers,1.095,2017
21,LA Lakers,1.034,2013
5,LA Lakers,1.028,2008
6,LA Lakers,1.017,2010
1,LA Lakers,1.042,2021
9,LA Lakers,1.098,2023
16,LA Lakers,1.124,2024
13,LA Lakers,1.048,2018
