Rank,Team,Statistic,Year
17,New York,1.04,2016
7,New York,0.981,2012
28,New York,1.062,2015
23,New York,1.094,2020
22,New York,1.063,2011
26,New York,1.068,2007
23,New York,1.055,2014
26,New York,1.076,2006
24,New York,1.079,2009
15,New York,1.002,2004
26,New York,1.101,2019
25,New York,1.057,2005
8,New York,1.07,2022
25,New York,1.077,2017
13,New York,1.019,2013
28,New York,1.086,2008
29,New York,1.088,2010
3,New York,1.051,2021
14,New York,1.102,2023
7,New York,1.091,2024
21,New York,1.072,2018
