Rank,Team,Statistic,Year
12,Okla City,1.02,2016
10,Okla City,1.001,2012
15,Okla City,1.018,2015
10,Okla City,1.059,2020
13,Okla City,1.035,2011
28,Okla City,1.073,2007
7,Okla City,1.013,2014
30,Okla City,1.107,2006
20,Okla City,1.062,2009
27,Okla City,1.046,2004
5,Okla City,1.039,2019
27,Okla City,1.059,2005
18,Okla City,1.095,2022
8,Okla City,1.042,2017
4,Okla City,0.991,2013
23,Okla City,1.064,2008
7,Okla City,1.017,2010
24,Okla City,1.11,2021
16,Okla City,1.106,2023
5,Okla City,1.089,2024
10,Okla City,1.037,2018
