Rank,Team,Statistic,Year
13,Washington,1.027,2016
19,Washington,1.025,2012
5,Washington,0.995,2015
29,Washington,1.121,2020
24,Washington,1.064,2011
27,Washington,1.073,2007
6,Washington,1.009,2014
21,Washington,1.04,2006
29,Washington,1.103,2009
21,Washington,1.017,2004
28,Washington,1.105,2019
18,Washington,1.04,2005
25,Washington,1.111,2022
20,Washington,1.06,2017
5,Washington,0.997,2013
20,Washington,1.062,2008
18,Washington,1.065,2010
20,Washington,1.1,2021
21,Washington,1.121,2023
30,Washington,1.167,2024
15,Washington,1.056,2018
