Rank,Team,Statistic,Year
22,Atlanta,0.512,2018
30,Atlanta,0.471,2007
9,Atlanta,0.495,2012
18,Atlanta,0.54,2023
6,Atlanta,0.542,2022
6,Atlanta,0.514,2016
15,Atlanta,0.498,2009
13,Atlanta,0.5,2010
3,Atlanta,0.52,2015
27,Atlanta,0.4639999999999999,2005
14,Atlanta,0.497,2011
18,Atlanta,0.465,2004
10,Atlanta,0.511,2014
25,Atlanta,0.515,2020
18,Atlanta,0.5379999999999999,2024
6,Atlanta,0.514,2013
17,Atlanta,0.535,2021
19,Atlanta,0.486,2006
20,Atlanta,0.503,2017
17,Atlanta,0.522,2019
24,Atlanta,0.48,2008
