Rank,Team,Statistic,Year
17,Brooklyn,0.514,2018
9,Brooklyn,0.503,2007
23,Brooklyn,0.473,2012
6,Brooklyn,0.56,2023
7,Brooklyn,0.542,2022
22,Brooklyn,0.492,2016
17,Brooklyn,0.497,2009
30,Brooklyn,0.4579999999999999,2010
18,Brooklyn,0.49,2015
28,Brooklyn,0.461,2005
27,Brooklyn,0.475,2011
15,Brooklyn,0.469,2004
9,Brooklyn,0.514,2014
24,Brooklyn,0.515,2020
22,Brooklyn,0.532,2024
14,Brooklyn,0.496,2013
1,Brooklyn,0.5720000000000001,2021
25,Brooklyn,0.479,2006
17,Brooklyn,0.507,2017
19,Brooklyn,0.517,2019
23,Brooklyn,0.481,2008
