Rank,Team,Statistic,Year
4,Cleveland,0.54,2018
26,Cleveland,0.479,2007
29,Cleveland,0.4629999999999999,2012
10,Cleveland,0.5539999999999999,2023
13,Cleveland,0.537,2022
2,Cleveland,0.528,2016
4,Cleveland,0.517,2009
3,Cleveland,0.531,2010
6,Cleveland,0.512,2015
25,Cleveland,0.47,2005
28,Cleveland,0.472,2011
28,Cleveland,0.451,2004
27,Cleveland,0.479,2014
22,Cleveland,0.522,2020
13,Cleveland,0.555,2024
26,Cleveland,0.473,2013
29,Cleveland,0.508,2021
15,Cleveland,0.489,2006
2,Cleveland,0.5529999999999999,2017
29,Cleveland,0.503,2019
26,Cleveland,0.478,2008
