Rank,Team,Statistic,Year
7,Milwaukee,0.5329999999999999,2018
7,Milwaukee,0.504,2007
17,Milwaukee,0.481,2012
9,Milwaukee,0.555,2023
8,Milwaukee,0.54,2022
15,Milwaukee,0.499,2016
25,Milwaukee,0.483,2009
26,Milwaukee,0.481,2010
16,Milwaukee,0.493,2015
18,Milwaukee,0.475,2005
30,Milwaukee,0.467,2011
10,Milwaukee,0.475,2004
26,Milwaukee,0.479,2014
1,Milwaukee,0.5529999999999999,2020
3,Milwaukee,0.573,2024
24,Milwaukee,0.476,2013
5,Milwaukee,0.557,2021
11,Milwaukee,0.493,2006
7,Milwaukee,0.526,2017
2,Milwaukee,0.546,2019
21,Milwaukee,0.482,2008
