Rank,Team,Statistic,Year
23,Portland,0.511,2018
22,Portland,0.483,2007
13,Portland,0.488,2012
14,Portland,0.5489999999999999,2023
25,Portland,0.515,2022
10,Portland,0.508,2016
8,Portland,0.509,2009
15,Portland,0.497,2010
9,Portland,0.505,2015
14,Portland,0.484,2005
22,Portland,0.487,2011
8,Portland,0.478,2004
14,Portland,0.501,2014
16,Portland,0.53,2020
30,Portland,0.509,2024
13,Portland,0.498,2013
13,Portland,0.542,2021
26,Portland,0.474,2006
11,Portland,0.517,2017
15,Portland,0.524,2019
17,Portland,0.49,2008
