Rank,Team,Statistic,Year
12,Washington,0.524,2018
20,Washington,0.489,2007
25,Washington,0.472,2012
12,Washington,0.55,2023
18,Washington,0.532,2022
8,Washington,0.511,2016
29,Washington,0.48,2009
25,Washington,0.481,2010
13,Washington,0.499,2015
21,Washington,0.473,2005
29,Washington,0.471,2011
26,Washington,0.4539999999999999,2004
13,Washington,0.502,2014
20,Washington,0.528,2020
19,Washington,0.537,2024
25,Washington,0.475,2013
21,Washington,0.529,2021
20,Washington,0.485,2006
9,Washington,0.525,2017
7,Washington,0.531,2019
19,Washington,0.487,2008
