Rank,Team,Statistic,Year
25,Detroit,0.557,2023
20,Detroit,0.502,2015
24,Detroit,0.5,2012
30,Detroit,0.526,2010
21,Detroit,0.5579999999999999,2024
16,Detroit,0.524,2018
22,Detroit,0.505,2013
18,Detroit,0.541,2021
5,Detroit,0.486,2009
30,Detroit,0.526,2011
16,Detroit,0.506,2016
1,Detroit,0.437,2004
22,Detroit,0.541,2020
21,Detroit,0.541,2022
4,Detroit,0.475,2007
20,Detroit,0.528,2019
5,Detroit,0.4629999999999999,2005
9,Detroit,0.48,2006
29,Detroit,0.52,2014
18,Detroit,0.516,2017
3,Detroit,0.471,2008
