Rank,Team,Statistic,Year
9,Golden State,0.536,2023
1,Golden State,0.4679999999999999,2015
23,Golden State,0.496,2012
28,Golden State,0.525,2010
14,Golden State,0.5429999999999999,2024
3,Golden State,0.5,2018
8,Golden State,0.486,2013
4,Golden State,0.52,2021
20,Golden State,0.508,2009
21,Golden State,0.509,2011
2,Golden State,0.479,2016
17,Golden State,0.476,2004
28,Golden State,0.5529999999999999,2020
2,Golden State,0.512,2022
23,Golden State,0.504,2007
6,Golden State,0.51,2019
19,Golden State,0.491,2005
17,Golden State,0.492,2006
3,Golden State,0.481,2014
1,Golden State,0.486,2017
23,Golden State,0.509,2008
