Rank,Team,Statistic,Year
1,Milwaukee,0.525,2023
8,Milwaukee,0.488,2015
16,Milwaukee,0.489,2012
8,Milwaukee,0.485,2010
9,Milwaukee,0.54,2024
20,Milwaukee,0.526,2018
13,Milwaukee,0.494,2013
11,Milwaukee,0.532,2021
17,Milwaukee,0.503,2009
5,Milwaukee,0.481,2011
19,Milwaukee,0.51,2016
25,Milwaukee,0.486,2004
1,Milwaukee,0.486,2020
14,Milwaukee,0.532,2022
29,Milwaukee,0.522,2007
1,Milwaukee,0.499,2019
26,Milwaukee,0.499,2005
24,Milwaukee,0.506,2006
28,Milwaukee,0.52,2014
19,Milwaukee,0.517,2017
30,Milwaukee,0.524,2008
