Rank,Team,Statistic,Year
16,New Orleans,0.5429999999999999,2023
17,New Orleans,0.497,2015
11,New Orleans,0.485,2012
26,New Orleans,0.523,2010
7,New Orleans,0.535,2024
9,New Orleans,0.513,2018
28,New Orleans,0.52,2013
25,New Orleans,0.55,2021
15,New Orleans,0.5,2009
18,New Orleans,0.501,2011
26,New Orleans,0.523,2016
16,New Orleans,0.472,2004
17,New Orleans,0.531,2020
26,New Orleans,0.547,2022
16,New Orleans,0.499,2007
21,New Orleans,0.532,2019
20,New Orleans,0.491,2005
22,New Orleans,0.502,2006
23,New Orleans,0.515,2014
10,New Orleans,0.509,2017
14,New Orleans,0.499,2008
