Rank,Team,Statistic,Year
7,New York,0.532,2023
27,New York,0.512,2015
13,New York,0.486,2012
29,New York,0.526,2010
11,New York,0.541,2024
13,New York,0.522,2018
21,New York,0.504,2013
1,New York,0.51,2021
28,New York,0.52,2009
23,New York,0.511,2011
10,New York,0.487,2016
9,New York,0.4629999999999999,2004
20,New York,0.541,2020
6,New York,0.521,2022
24,New York,0.504,2007
23,New York,0.5329999999999999,2019
29,New York,0.501,2005
26,New York,0.511,2006
22,New York,0.514,2014
13,New York,0.511,2017
28,New York,0.518,2008
