Rank,Team,Statistic,Year
13,Philadelphia,0.541,2023
19,Philadelphia,0.497,2015
3,Philadelphia,0.46,2012
24,Philadelphia,0.519,2010
10,Philadelphia,0.541,2024
1,Philadelphia,0.494,2018
14,Philadelphia,0.495,2013
3,Philadelphia,0.519,2021
19,Philadelphia,0.507,2009
8,Philadelphia,0.485,2011
18,Philadelphia,0.51,2016
10,Philadelphia,0.467,2004
12,Philadelphia,0.522,2020
8,Philadelphia,0.522,2022
18,Philadelphia,0.501,2007
4,Philadelphia,0.509,2019
18,Philadelphia,0.487,2005
21,Philadelphia,0.5,2006
30,Philadelphia,0.524,2014
15,Philadelphia,0.512,2017
21,Philadelphia,0.505,2008
