Rank,Team,Statistic,Year
8,Phoenix,0.5329999999999999,2023
18,Phoenix,0.497,2015
19,Phoenix,0.491,2012
12,Phoenix,0.494,2010
8,Phoenix,0.537,2024
24,Phoenix,0.5329999999999999,2018
25,Phoenix,0.512,2013
8,Phoenix,0.528,2021
23,Phoenix,0.511,2009
26,Phoenix,0.513,2011
28,Phoenix,0.523,2016
22,Phoenix,0.482,2004
24,Phoenix,0.5429999999999999,2020
3,Phoenix,0.514,2022
12,Phoenix,0.492,2007
28,Phoenix,0.545,2019
14,Phoenix,0.482,2005
20,Phoenix,0.493,2006
12,Phoenix,0.496,2014
25,Phoenix,0.525,2017
8,Phoenix,0.488,2008
