Rank,Team,Statistic,Year
26,Sacramento,0.56,2023
25,Sacramento,0.507,2015
30,Sacramento,0.515,2012
19,Sacramento,0.505,2010
23,Sacramento,0.5589999999999999,2024
30,Sacramento,0.542,2018
27,Sacramento,0.517,2013
30,Sacramento,0.557,2021
29,Sacramento,0.526,2009
25,Sacramento,0.513,2011
25,Sacramento,0.521,2016
19,Sacramento,0.479,2004
19,Sacramento,0.54,2020
27,Sacramento,0.551,2022
26,Sacramento,0.513,2007
22,Sacramento,0.5329999999999999,2019
22,Sacramento,0.494,2005
19,Sacramento,0.493,2006
20,Sacramento,0.512,2014
26,Sacramento,0.528,2017
25,Sacramento,0.51,2008
