Rank,Team,Statistic,Year
29,Toronto,0.564,2023
26,Toronto,0.508,2015
5,Toronto,0.475,2012
22,Toronto,0.513,2010
25,Toronto,0.561,2024
4,Toronto,0.505,2018
17,Toronto,0.5,2013
20,Toronto,0.5429999999999999,2021
22,Toronto,0.511,2009
28,Toronto,0.522,2011
14,Toronto,0.501,2016
5,Toronto,0.449,2004
2,Toronto,0.502,2020
19,Toronto,0.5379999999999999,2022
22,Toronto,0.504,2007
2,Toronto,0.505,2019
28,Toronto,0.499,2005
30,Toronto,0.53,2006
10,Toronto,0.494,2014
11,Toronto,0.51,2017
22,Toronto,0.506,2008
