Rank,Team,Statistic,Year
12,Washington,0.54,2023
5,Washington,0.48,2015
21,Washington,0.492,2012
17,Washington,0.502,2010
27,Washington,0.5660000000000001,2024
15,Washington,0.523,2018
7,Washington,0.483,2013
15,Washington,0.539,2021
30,Washington,0.5329999999999999,2009
24,Washington,0.512,2011
21,Washington,0.515,2016
24,Washington,0.486,2004
30,Washington,0.56,2020
13,Washington,0.529,2022
28,Washington,0.516,2007
29,Washington,0.546,2019
27,Washington,0.499,2005
23,Washington,0.503,2006
14,Washington,0.5,2014
24,Washington,0.524,2017
26,Washington,0.512,2008
