Rank,Team,Statistic,Year
23,Charlotte,0.354,2020
19,Charlotte,0.427,2009
27,Charlotte,0.329,2023
22,Charlotte,0.402,2015
16,Charlotte,0.512,2010
16,Charlotte,0.5,2014
17,Charlotte,0.476,2019
15,Charlotte,0.518,2022
19,Charlotte,0.452,2021
30,Charlotte,0.106,2012
22,Charlotte,0.415,2011
27,Charlotte,0.243,2024
7,Charlotte,0.573,2016
28,Charlotte,0.22,2005
21,Charlotte,0.402,2007
23,Charlotte,0.39,2008
29,Charlotte,0.256,2013
27,Charlotte,0.317,2006
20,Charlotte,0.439,2017
20,Charlotte,0.439,2018
