Rank,Team,Statistic,Year
30,Golden State,0.231,2020
24,Golden State,0.354,2009
11,Golden State,0.526,2023
1,Golden State,0.804,2015
26,Golden State,0.317,2010
8,Golden State,0.607,2014
3,Golden State,0.683,2019
2,Golden State,0.664,2022
13,Golden State,0.527,2021
23,Golden State,0.349,2012
18,Golden State,0.451,2004
19,Golden State,0.439,2011
18,Golden State,0.514,2024
1,Golden State,0.83,2016
21,Golden State,0.415,2005
12,Golden State,0.505,2007
11,Golden State,0.585,2008
10,Golden State,0.564,2013
22,Golden State,0.415,2006
1,Golden State,0.838,2017
2,Golden State,0.718,2018
