Rank,Team,Statistic,Year
4,LA Clippers,0.688,2020
28,LA Clippers,0.232,2009
14,LA Clippers,0.517,2023
5,LA Clippers,0.656,2015
22,LA Clippers,0.354,2010
4,LA Clippers,0.663,2014
12,LA Clippers,0.568,2019
18,LA Clippers,0.5,2022
6,LA Clippers,0.633,2021
10,LA Clippers,0.571,2012
25,LA Clippers,0.342,2004
23,LA Clippers,0.39,2011
6,LA Clippers,0.629,2024
6,LA Clippers,0.625,2016
19,LA Clippers,0.451,2005
15,LA Clippers,0.488,2007
25,LA Clippers,0.281,2008
6,LA Clippers,0.659,2013
8,LA Clippers,0.575,2006
6,LA Clippers,0.607,2017
17,LA Clippers,0.512,2018
