Rank,Team,Statistic,Year
2,LA Lakers,0.778,2020
2,LA Lakers,0.771,2009
12,LA Lakers,0.525,2023
27,LA Lakers,0.256,2015
3,LA Lakers,0.695,2010
25,LA Lakers,0.329,2014
20,LA Lakers,0.451,2019
23,LA Lakers,0.402,2022
9,LA Lakers,0.57,2021
7,LA Lakers,0.59,2012
5,LA Lakers,0.664,2004
6,LA Lakers,0.663,2011
14,LA Lakers,0.556,2024
29,LA Lakers,0.207,2016
21,LA Lakers,0.415,2005
14,LA Lakers,0.494,2007
3,LA Lakers,0.689,2008
14,LA Lakers,0.523,2013
10,LA Lakers,0.539,2006
28,LA Lakers,0.317,2017
21,LA Lakers,0.427,2018
