Rank,Team,Statistic,Year
1,Milwaukee,0.815,2020
20,Milwaukee,0.415,2009
1,Milwaukee,0.678,2023
15,Milwaukee,0.489,2015
14,Milwaukee,0.551,2010
30,Milwaukee,0.183,2014
1,Milwaukee,0.722,2019
5,Milwaukee,0.617,2022
5,Milwaukee,0.644,2021
19,Milwaukee,0.47,2012
16,Milwaukee,0.483,2004
21,Milwaukee,0.427,2011
5,Milwaukee,0.648,2024
21,Milwaukee,0.402,2016
25,Milwaukee,0.366,2005
28,Milwaukee,0.342,2007
24,Milwaukee,0.317,2008
18,Milwaukee,0.442,2013
17,Milwaukee,0.471,2006
13,Milwaukee,0.5,2017
15,Milwaukee,0.528,2018
