Rank,Team,Statistic,Year
28,Minnesota,0.297,2020
25,Minnesota,0.293,2009
16,Minnesota,0.494,2023
30,Minnesota,0.195,2015
29,Minnesota,0.183,2010
17,Minnesota,0.488,2014
21,Minnesota,0.439,2019
12,Minnesota,0.551,2022
25,Minnesota,0.319,2021
21,Minnesota,0.394,2012
3,Minnesota,0.68,2004
30,Minnesota,0.207,2011
4,Minnesota,0.69,2024
26,Minnesota,0.354,2016
12,Minnesota,0.537,2005
24,Minnesota,0.39,2007
27,Minnesota,0.268,2008
22,Minnesota,0.378,2013
24,Minnesota,0.402,2006
24,Minnesota,0.378,2017
13,Minnesota,0.552,2018
