Rank,Team,Statistic,Year
22,Washington,0.375,2020
28,Washington,0.232,2009
23,Washington,0.427,2023
12,Washington,0.565,2015
26,Washington,0.317,2010
14,Washington,0.538,2014
25,Washington,0.39,2019
21,Washington,0.427,2022
18,Washington,0.456,2021
29,Washington,0.303,2012
27,Washington,0.305,2004
27,Washington,0.281,2011
29,Washington,0.183,2024
15,Washington,0.5,2016
13,Washington,0.533,2005
16,Washington,0.477,2007
14,Washington,0.511,2008
23,Washington,0.354,2013
13,Washington,0.5,2006
9,Washington,0.59,2017
18,Washington,0.511,2018
